variety_id,name,scientific_name,category_enum,benefits,planting_time,harvest_time,description,icon,image_url,information_leaflet_url,active
none,None,,intercrop,"{No intercrop selected,Monoculture sugarcane}",,,"No intercrop companion plant selected",,,true
cowpea,Cowpea,Vigna unguiculata,intercrop,"{Nitrogen fixation,Soil improvement,Additional income,Ground cover}",Early rainy season,60-90 days,"Fast-growing legume that fixes nitrogen and provides ground cover",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
blackeyed-pea,Black-eyed Pea,Vigna unguiculata subsp. unguiculata,intercrop,"{Nitrogen fixation,Drought tolerance,Food security,Market value}",Early to mid rainy season,70-100 days,"Drought-tolerant legume with high protein content",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
soybean,Soybean,Glycine max,intercrop,"{High nitrogen fixation,Protein rich,Oil production,Soil structure improvement}",Early rainy season,90-120 days,"High-value legume crop with excellent nitrogen fixation capacity",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Soybean.USDA.jpg/300px-Soybean.USDA.jpg,,true
groundnut,Groundnut,Arachis hypogaea,intercrop,"{Nitrogen fixation,High value crop,Oil production,Food security}",Early to mid rainy season,90-120 days,"High-value legume with underground pods",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Arachis_hypogaea_003.JPG/300px-Arachis_hypogaea_003.JPG,,true
mung-bean,Mung Bean,Vigna radiata,intercrop,"{Fast nitrogen fixation,Quick maturity,Multiple harvests,Green manure}",Throughout rainy season,60-75 days,"Fast-growing legume suitable for multiple cropping",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
pigeon-pea,Pigeon Pea,Cajanus cajan,intercrop,"{Long-term nitrogen fixation,Perennial benefits,Windbreak,Deep rooting}",Early rainy season,150-180 days,"Long-duration legume providing sustained benefits",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
lima-bean,Lima Bean,Phaseolus lunatus,intercrop,"{Nitrogen fixation,Climbing habit,Space efficient,High protein}",Early rainy season,90-110 days,"Climbing legume that maximizes space utilization",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
common-bean,Common Bean,Phaseolus vulgaris,intercrop,"{Nitrogen fixation,Fast growth,Market demand,Protein source}",Mid rainy season,75-95 days,"Popular legume with good market demand",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
lablab,Lablab,Lablab purpureus,intercrop,"{Nitrogen fixation,Fodder value,Drought tolerance,Soil improvement}",Early to mid rainy season,90-120 days,"Multipurpose legume for food and fodder",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
sweet-potato,Sweet Potato,Ipomoea batatas,intercrop,"{Ground cover,Tuber production,Erosion control,Quick establishment}",Early rainy season,90-120 days,"Ground covering crop with edible tubers",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
cassava,Cassava,Manihot esculenta,intercrop,"{Drought tolerance,Long storage,Food security,Starch production}",Early rainy season,8-12 months,"Drought-tolerant root crop for food security",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
maize,Maize,Zea mays,intercrop,"{Quick cash crop,Food security,Biomass production,Market demand}",Early rainy season,90-120 days,"Fast-growing cereal crop with good market value",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
sorghum,Sorghum,Sorghum bicolor,intercrop,"{Drought tolerance,Fodder value,Grain production,Biomass}",Early to mid rainy season,100-130 days,"Drought-tolerant cereal suitable for dry conditions",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
fieldpea,Field Pea,Pisum arvense,intercrop,"{Nitrogen fixation,Cool season adaptation,Fodder value,Soil improvement}",Winter season,90-110 days,"Cool season legume that provides both grain and fodder",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Vigna_unguiculata_Blanco2.286-cropped.jpg/300px-Vigna_unguiculata_Blanco2.286-cropped.jpg,,true
