resource_id,name,category,category_enum,description,unit,cost_per_hour,cost_per_unit,skill_level,overtime_multiplier,icon,specifications,active
tractor-small,Small Tractor (40-60 HP),Fleet & Vehicles,fleet,,hours,,450,,1.0,,{},true
tractor-medium,Medium Tractor (60-90 HP),Fleet & Vehicles,fleet,,hours,,650,,1.0,,{},true
tractor-large,Large Tractor (90+ HP),Fleet & Vehicles,fleet,,hours,,850,,1.0,,{},true
pickup-truck,Pickup Truck,Fleet & Vehicles,fleet,,hours,,200,,1.0,,{},true
utility-vehicle,Utility Vehicle (ATV/UTV),Fleet & Vehicles,fleet,,hours,,150,,1.0,,{},true
field-worker,Field Worker,Labour & Personnel,labour,,hours,,25,Basic,1.0,,{},true
skilled-worker,Skilled Agricultural Worker,Labour & Personnel,labour,,hours,,35,Skilled,1.0,,{},true
machine-operator,Machine Operator,Labour & Personnel,labour,,hours,,45,Specialized,1.0,,{},true
supervisor,Field Supervisor,Labour & Personnel,labour,,hours,,60,Management,1.0,,{},true
overtime-worker,Field Worker (Overtime),Labour & Personnel,labour,,hours,,37.5,Basic,1.5,,{},true
overtime-skilled,Skilled Worker (Overtime),Labour & Personnel,labour,,hours,,52.5,Skilled,1.5,,{},true
seasonal-worker,Seasonal Harvest Worker,Labour & Personnel,labour,,hours,,30,Seasonal,1.0,,{},true
plow,Moldboard Plow,Equipment & Tools,equipment,,hours,,50,,1.0,,{},true
disc-harrow,Disc Harrow,Equipment & Tools,equipment,,hours,,40,,1.0,,{},true
cultivator,Field Cultivator,Equipment & Tools,equipment,,hours,,45,,1.0,,{},true
planter,Sugarcane Planter,Equipment & Tools,equipment,,hours,,80,,1.0,,{},true
fertilizer-spreader,Fertilizer Spreader,Equipment & Tools,equipment,,hours,,35,,1.0,,{},true
sprayer,Field Sprayer,Equipment & Tools,equipment,,hours,,60,,1.0,,{},true
mower,Rotary Mower,Equipment & Tools,equipment,,hours,,40,,1.0,,{},true
bulldozer,Bulldozer,Heavy Machinery,machinery,,hours,,1200,,1.0,,{},true
excavator,Excavator,Heavy Machinery,machinery,,hours,,800,,1.0,,{},true
grader,Motor Grader,Heavy Machinery,machinery,,hours,,600,,1.0,,{},true
compactor,Soil Compactor,Heavy Machinery,machinery,,hours,,400,,1.0,,{},true
truck-small,Small Transport Truck (3-5 tons),Transport & Logistics,transport,,hours,,300,,1.0,,{},true
truck-large,Large Transport Truck (10+ tons),Transport & Logistics,transport,,hours,,500,,1.0,,{},true
trailer,Agricultural Trailer,Transport & Logistics,transport,,hours,,100,,1.0,,{},true
cane-trailer,Sugarcane Transport Trailer,Transport & Logistics,transport,,hours,,150,,1.0,,{},true
drip-system,Drip Irrigation System,Irrigation Systems,irrigation,,hours,,25,,1.0,,{},true
sprinkler-system,Sprinkler Irrigation System,Irrigation Systems,irrigation,,hours,,35,,1.0,,{},true
pump-electric,Electric Water Pump,Irrigation Systems,irrigation,,hours,,15,,1.0,,{},true
pump-diesel,Diesel Water Pump,Irrigation Systems,irrigation,,hours,,25,,1.0,,{},true
cane-harvester,Sugarcane Harvester,Harvesting Equipment,harvesting,,hours,,1500,,1.0,,{},true
cane-loader,Sugarcane Loader,Harvesting Equipment,harvesting,,hours,,400,,1.0,,{},true
cane-cutter,Manual Cane Cutter,Harvesting Equipment,harvesting,,hours,,35,,1.0,,{},true
weighing-scale,Field Weighing Scale,Processing Equipment,processing,,hours,,50,,1.0,,{},true
field-trailer,Field Collection Trailer,Processing Equipment,processing,,hours,,75,,1.0,,{},true
